title,seasons,genre,release_year.x,imdb_score,imdb_votes,runtime,release_year.y,outcome
Blown Away,2,International TV Shows,2021,7.1,2876,25,2019,Renewed
Busted!,3,Crime TV Shows,2021,7.6,898,75,2018,Renewed
Demon Slayer: Kimetsu no Yaiba,1,Anime Series,2019,8.699999999999998,88265,25,2019,Cancelled
Spycraft,1,Docuseries,2021,6.7,1976,34,2021,Cancelled
Hello Ninja,4,Kids' TV,2021,6.7,119,13,2019,Renewed
Bling Empire,1,Reality TV,2021,5.8,2608,39,2021,Cancelled
Carmen Sandiego,4,Kids' TV,2021,7.9,5557,23,2019,Renewed
Disenchantment,3,TV Action & Adventure,2021,7.2,58639,29,2018,Renewed
Henry Danger,3,Kids' TV,2016,5.6,5245,24,2014,Renewed
The Magicians,5,TV Dramas,2020,7.6,49557,44,2015,Renewed
Night Stalker: The Hunt for a Serial Killer,1,Crime TV Shows,2021,7.5,23939,47,2021,Cancelled
Last Tango in Halifax,4,British TV Shows,2020,8.3,6844,59,2012,Renewed
Mighty Little Bheem: Kite Festival,1,Kids' TV,2021,8.8,16,0,2021,Cancelled
The Idhun Chronicles,2,Anime Series,2021,5.3,563,27,2020,Renewed
Surviving Death,1,Docuseries,2021,6.1,1991,54,2021,Cancelled
History of Swear Words,1,Docuseries,2021,6.4,4776,21,2021,Cancelled
Nailed It! Mexico,3,International TV Shows,2021,6.2,308,32,2019,Renewed
Korean Pork Belly Rhapsody,1,Docuseries,2020,7.7,62,48,2020,Cancelled
QB1: Beyond the Lights,1,Docuseries,2019,7.7,895,32,2017,Cancelled
Cobra Kai,3,TV Action & Adventure,2021,8.6,163858,31,2018,Renewed
Dream Home Makeover,2,Reality TV,2021,5.5,1078,27,2020,Renewed
Headspace Guide to Meditation,1,Docuseries,2021,8.4,1540,22,2021,Cancelled
Monarca,2,International TV Shows,2021,7.8,3210,44,2019,Renewed
Running Man,1,Kids' TV,2020,8.4,32,11,2017,Cancelled
The Cat in the Hat Knows a Lot About That!,1,Kids' TV,2014,6.4,620,19,2013,Cancelled
The Haunted Hathaways,2,Kids' TV,2013,5,2471,24,2013,Renewed
Chilling Adventures of Sabrina,4,TV Horror,2020,7.4,90327,57,2018,Renewed
Best Leftovers Ever!,1,Reality TV,2020,5.6,515,36,2020,Cancelled
Dare Me,1,Crime TV Shows,2019,6.6,5098,43,2019,Cancelled
SanPa: Sins of the Savior,1,Crime TV Shows,2020,7.8,1488,57,2020,Cancelled
Still Game,9,British TV Shows,2018,8.9,7539,29,2002,Renewed
A Love So Beautiful,1,International TV Shows,2020,8,1386,41,2017,Cancelled
Sakho & Mangane,1,Crime TV Shows,2019,6.5,131,51,2019,Cancelled
Regiment Diaries,2,Docuseries,2020,8.6,80,42,2018,Renewed
Bridgerton,1,Romantic TV Shows,2020,7.3,122036,62,2020,Cancelled
Lovestruck in the City,1,International TV Shows,2020,7.7,2129,30,2020,Cancelled
Shaun the Sheep,2,British TV Shows,2016,8,25,7,2007,Renewed
Timmy Time,1,British TV Shows,2010,6.9,1083,14,2009,Cancelled
Home for Christmas,2,International TV Shows,2020,7.7,13670,29,2019,Renewed
Paava Kadhaigal,1,International TV Shows,2020,8.1,6628,118,2020,Cancelled
Morphle,2,British TV Shows,2020,5.1,77,6,2019,Renewed
Schulz Saves America,1,Stand-Up Comedy & Talk Shows,2020,7.3,1069,17,2020,Cancelled
BREAK IT ALL: The History of Rock in Latin America,1,Docuseries,2020,7.6,1215,50,2020,Cancelled
How To Ruin Christmas,1,International TV Shows,2020,6.1,488,50,2020,Cancelled
The Ripper,1,British TV Shows,2020,7.1,9228,49,2020,Cancelled
Black Ink Crew New York,2,Reality TV,2014,4.6,459,41,2013,Renewed
Pup Academy,2,Kids' TV,2020,6.6,498,26,2019,Renewed
Song Exploder,2,Docuseries,2020,7.4,758,27,2020,Renewed
Teen Mom 2,2,Reality TV,2011,4.5,28,41,2011,Renewed
The Challenge,2,Reality TV,2006,7.8,3274,40,1998,Renewed
Hilda,2,Kids' TV,2021,8.5,10162,25,2018,Renewed
Tiny Pretty Things,1,TV Dramas,2020,5.9,9115,56,2020,Cancelled
Children of Adam,1,International TV Shows,2020,7.8,170,41,2020,Cancelled
The Mess You Leave Behind,1,International TV Shows,2020,6.8,8848,45,2020,Cancelled
Alice in Borderland,1,International TV Shows,2020,7.6,47651,47,2020,Cancelled
Futmalls.com,1,Crime TV Shows,2020,6.4,182,40,2020,Cancelled
The Big Show Show,2,Kids' TV,2020,6.3,2375,26,2020,Renewed
The Surgeon's Cut,1,Docuseries,2020,8.5,1010,50,2020,Cancelled
Juman,1,International TV Shows,2019,5.2,110,40,2019,Cancelled
Mr. Iglesias,3,TV Comedies,2020,7.1,6703,29,2019,Renewed
100 Days My Prince,1,International TV Shows,2018,7.8,1938,75,2018,Cancelled
Room 2806: The Accusation,1,Crime TV Shows,2020,7,2298,49,2020,Cancelled
Detention,1,International TV Shows,2020,6.3,496,49,2020,Cancelled
Big Mouth,4,TV Comedies,2020,7.9,74660,27,2017,Renewed
Kings of Jo'Burg,1,Crime TV Shows,2020,5.6,491,51,2020,Cancelled
Alien Worlds,1,British TV Shows,2020,6.5,3509,44,2020,Cancelled
Gormiti,1,Kids' TV,2018,5.3,111,11,2018,Cancelled
Ink Master,2,Reality TV,2012,7.4,3874,42,2012,Renewed
Octonauts,4,British TV Shows,2015,7.6,1049,15,2010,Renewed
Stargate SG-1,10,Classic & Cult TV,2006,8.4,90196,44,1997,Renewed
The Guest,1,International TV Shows,2018,8.1,1537,66,2018,Cancelled
The Uncanny Counter,1,International TV Shows,2020,8,5552,64,2020,Cancelled
Heartbreak High,7,International TV Shows,1999,7.8,3106,47,1994,Renewed
Sugar Rush Christmas,2,Reality TV,2020,6.8,578,50,2019,Renewed
Valentino,1,International TV Shows,2020,5.2,213,39,2020,Cancelled
Strongest Deliveryman,1,International TV Shows,2017,7.4,626,55,2017,Cancelled
Flavorful Origins,3,Docuseries,2020,7.6,592,12,2019,Renewed
Mismatched,1,International TV Shows,2020,5.5,3712,32,2020,Cancelled
Voices of Fire,1,Docuseries,2020,6.8,382,36,2020,Cancelled
Holiday Home Makeover with Mr. Christmas,1,Reality TV,2020,5.8,291,43,2020,Cancelled
The Boss Baby: Back in Business,4,Kids' TV,2020,6.4,3595,23,2018,Renewed
We Are the Champions,1,Docuseries,2020,7.1,1379,29,2020,Cancelled
America's Next Top Model,2,Reality TV,2013,5.6,17843,44,2003,Renewed
Beyblade Burst Rise,1,Anime Series,2019,5.7,156,0,2019,Cancelled
Polly Pocket,2,Kids' TV,2021,5.9,119,13,2018,Renewed
Survivor,2,Reality TV,2014,7.4,24368,48,2000,Renewed
The Crown,4,British TV Shows,2020,8.699999999999998,190878,56,2016,Renewed
The Minions of Midas,1,Crime TV Shows,2020,6.6,4065,53,2020,Cancelled
A Queen Is Born,1,International TV Shows,2020,5.9,148,44,2020,Cancelled
The Liberator,1,TV Action & Adventure,2020,7.6,5942,49,2020,Cancelled
Trial 4,1,Crime TV Shows,2020,7.4,2039,55,2020,Cancelled
Bakugan: Battle Planet,1,Anime Series,2018,5.1,220,20,2018,Cancelled
Country Ever After,1,Reality TV,2020,6.3,169,24,2020,Cancelled
Wrong Kind of Black,1,International TV Shows,2018,7.7,148,16,2018,Cancelled
Carmel: Who Killed Maria Marta?,1,Crime TV Shows,2020,7,2375,58,2020,Cancelled
Love & Anarchy,1,International TV Shows,2020,7.4,7896,29,2020,Cancelled
Can You Hear Me?,2,International TV Shows,2020,7.6,688,22,2019,Renewed
60 Days In,1,Reality TV,2019,7.6,2616,46,2016,Cancelled
Forged in Fire,1,Reality TV,2019,8.3,3538,42,2015,Cancelled
Leah Remini: Scientology and the Aftermath,3,Docuseries,2018,9,5761,46,2016,Renewed
The Garfield Show,4,Kids' TV,2018,5.3,2499,17,2009,Renewed
Voice,2,Crime TV Shows,2018,7.5,1949,63,2017,Renewed
Zumbo's Just Desserts,1,International TV Shows,2019,6.9,2125,52,2016,Cancelled
Somebody Feed Phil,4,Docuseries,2020,8.199999999999998,4420,52,2018,Renewed
Suburra: Blood on Rome,3,Crime TV Shows,2020,7.9,14346,48,2017,Renewed
The Devil Punisher,1,International TV Shows,2020,5.9,157,70,2020,Cancelled
Barbarians,1,International TV Shows,2020,7.2,23180,47,2020,Cancelled
Move,1,Docuseries,2020,7.5,112,25,2018,Cancelled
Stolen Away,1,Crime TV Shows,2020,7.1,2314,48,2020,Cancelled
The Queen's Gambit,1,TV Dramas,2020,8.6,406350,56,2020,Cancelled
My Next Guest Needs No Introduction With David Letterman,3,Stand-Up Comedy & Talk Shows,2020,7.9,5194,55,2018,Renewed
Unsolved Mysteries,2,Crime TV Shows,2020,7.3,9391,49,2020,Renewed
Start-Up,1,International TV Shows,2020,8.1,9021,80,2020,Cancelled
Grand Army,1,TV Dramas,2020,7.5,6279,52,2020,Cancelled
Someone Has to Die,1,Crime TV Shows,2020,6.3,4718,50,2020,Cancelled
The Last Kids on Earth,3,Kids' TV,2020,7.3,1293,58,2019,Renewed
Fireman Sam,4,British TV Shows,2018,6.1,1759,10,1987,Renewed
Half & Half,4,TV Comedies,2005,7,1827,21,2002,Renewed
One on One,5,TV Comedies,2006,7,2303,20,2001,Renewed
Power Rangers Beast Morphers,2,Kids' TV,2020,6.5,585,23,2019,Renewed
Social Distance,1,TV Comedies,2020,5.7,651,20,2020,Cancelled
The Cabin with Bert Kreischer,1,Reality TV,2020,6.6,1637,27,2020,Cancelled
Kipo and the Age of Wonderbeasts,3,Kids' TV,2020,8.3,5293,24,2020,Renewed
Deaf U,1,Docuseries,2020,6.4,462,20,2020,Cancelled
The Haunting of Bly Manor,1,TV Dramas,2020,7.3,96015,55,2020,Cancelled
Do Do Sol Sol La La Sol,1,International TV Shows,2020,7.4,1465,60,2020,Cancelled
Private Lives,1,Crime TV Shows,2020,6.7,595,67,2020,Cancelled
The 100,7,TV Action & Adventure,2020,7.6,242221,42,2014,Renewed
To the Lake,1,International TV Shows,2020,7.2,12456,43,2019,Cancelled
Bad Boy Billionaires: India,1,British TV Shows,2020,7.9,3010,0,2020,Cancelled
Emily in Paris,1,Romantic TV Shows,2020,6.9,84302,29,2020,Cancelled
H2O: Just Add Water,3,Kids' TV,2009,7.2,14782,25,2006,Renewed
Familiar Wife,1,International TV Shows,2018,7.6,937,61,2018,Cancelled
Oktoberfest: Beer & Blood,1,International TV Shows,2020,6.8,2119,48,2020,Cancelled
Secreto bien guardado,1,International TV Shows,2019,4.9,188,30,2019,Cancelled
Sword Art Online,3,Anime Series,2018,7.6,43727,23,2012,Renewed
The Parkers,5,TV Comedies,2003,6.8,2346,19,1999,Renewed
You Cannot Hide,1,Crime TV Shows,2020,6.4,1098,45,2019,Cancelled
Black Butler,3,Anime Series,2010,8.3,1856,25,2008,Renewed
Wentworth,8,Crime TV Shows,2020,8.6,21747,46,2013,Renewed
"Whose Vote Counts, Explained",1,Docuseries,2020,7.3,1139,25,2020,Cancelled
Van Helsing,4,International TV Shows,2019,6.1,21852,42,2016,Renewed
The Good Place,4,TV Comedies,2020,8.199999999999998,148562,23,2016,Renewed
A Perfect Crime,1,Crime TV Shows,2020,7.3,1394,43,2020,Cancelled
Mighty Little Bheem,3,Kids' TV,2020,6.4,249,6,2019,Renewed
The School Nurse Files,1,International TV Shows,2020,6.4,1147,51,2020,Cancelled
The Chef Show,4,Docuseries,2020,8.199999999999998,5025,26,2019,Renewed
The Playbook,1,Docuseries,2020,7.4,1360,44,2020,Cancelled
Ratched,1,TV Dramas,2020,7.2,52731,54,2020,Cancelled
The American Barbecue Showdown,1,Reality TV,2020,7.1,1151,43,2020,Cancelled
The Blacklist,7,Crime TV Shows,2019,8,238138,43,2013,Renewed
The Last Word,1,International TV Shows,2020,7,948,45,2020,Cancelled
Baby,3,International TV Shows,2020,6.8,10990,45,2018,Renewed
Criminal: UK,2,British TV Shows,2020,7.6,17992,44,2019,Renewed
Signs,2,Crime TV Shows,2020,6.4,1608,46,2018,Renewed
Sing On!,1,Reality TV,2020,6.4,380,36,2020,Cancelled
Call the Midwife,9,British TV Shows,2020,8.5,25562,56,2012,Renewed
Buddi,2,British TV Shows,2020,7.1,61,8,2020,Renewed
Family Business,2,International TV Shows,2020,7.4,3907,47,2019,Renewed
Girlfriends,8,TV Comedies,2007,7.2,4482,21,2000,Renewed
The Barrier,1,International TV Shows,2020,6.8,3447,52,2020,Cancelled
Greenleaf,5,TV Dramas,2020,7.3,5158,42,2016,Renewed
Julie and the Phantoms,1,Kids' TV,2020,8.4,9461,2,2020,Cancelled
Get Organized with The Home Edit,1,Reality TV,2020,5.3,1454,42,2020,Cancelled
Record of Youth,1,International TV Shows,2020,7.3,2278,73,2020,Cancelled
Transformers: Cyberverse,2,Kids' TV,2020,6.5,350,11,2018,Renewed
Away,1,Romantic TV Shows,2020,6.6,23706,50,2020,Cancelled
Young Wallander,1,Crime TV Shows,2020,6.8,11039,45,2020,Cancelled
Chef's Table: BBQ,1,Docuseries,2020,7.8,981,45,2020,Cancelled
The Witcher: A Look Inside the Episodes,1,Docuseries,2020,7.1,151,6,2020,Cancelled
Blue Exorcist,2,Anime Series,2017,7.5,12741,24,2011,Renewed
Borgen,3,International TV Shows,2012,8.5,23523,58,2010,Renewed
Erased,1,Anime Series,2016,7.8,3596,28,2017,Cancelled
Felipe Esparza: Bad Decisions,1,Stand-Up Comedy & Talk Shows,2020,5.4,166,62,2020,Cancelled
H,4,International TV Shows,2002,7.4,1703,25,1998,Renewed
Heidi,1,Kids' TV,2020,7.2,234,27,2015,Cancelled
"Sister, Sister",6,TV Comedies,1998,6.2,12535,22,1994,Renewed
The Promised Neverland,1,Anime Series,2019,8.4,34730,23,2019,Cancelled
Masaba Masaba,1,International TV Shows,2020,6.8,1746,31,2020,Cancelled
Aggretsuko,3,Anime Series,2020,8,6005,16,2018,Renewed
Million Dollar Beach House,1,Reality TV,2020,4.2,804,28,2020,Cancelled
Trinkets,2,TV Dramas,2020,7,10263,26,2019,Renewed
Rust Valley Restorers,3,International TV Shows,2020,7.8,2732,45,2018,Renewed
DeMarcus Family Rules,1,Reality TV,2020,6.2,110,29,2020,Cancelled
High Score,1,Docuseries,2020,7.4,7733,42,2020,Cancelled
Stranger,2,Crime TV Shows,2020,8.5,7645,64,2017,Renewed
Rita,5,International TV Shows,2020,8.1,8718,40,2012,Renewed
Takki,2,International TV Shows,2014,6.5,250,17,2012,Renewed
Teenage Bounty Hunters,1,Crime TV Shows,2020,7.6,10821,49,2020,Cancelled
The Great Heist,1,Crime TV Shows,2020,7.3,2528,44,2020,Cancelled
The Legend of Korra,4,Kids' TV,2014,8.4,117464,23,2012,Renewed
Zoids Wild,1,Anime Series,2018,6,25,21,2018,Cancelled
(Un)Well,1,Reality TV,2020,6.4,1041,52,2020,Cancelled
GAME ON: A Comedy Crossover Event,1,Kids' TV,2020,5.4,213,29,2020,Cancelled
Terrace House: Tokyo 2019-2020,2,International TV Shows,2019,7.4,691,46,2019,Renewed
The Governor,1,International TV Shows,2016,7.4,100,45,2016,Cancelled
High Seas,3,Crime TV Shows,2020,6.8,7154,45,2019,Renewed
Selling Sunset,3,Reality TV,2020,6.5,5482,35,2019,Renewed
Sing On! Germany,1,International TV Shows,2020,5.4,136,38,2020,Cancelled
Tiny Creatures,1,Docuseries,2020,5,1210,25,2020,Cancelled
Word Party Songs,1,Kids' TV,2020,3.6,18,4,2020,Cancelled
Ever After High,5,Kids' TV,2016,7.7,1130,30,2013,Renewed
The Rain,3,International TV Shows,2020,7.3,616,43,2018,Renewed
World's Most Wanted,1,Crime TV Shows,2020,7.1,2481,45,2020,Cancelled
Mystery Lab,1,Docuseries,2020,7.4,769,37,2020,Cancelled
Immigration Nation,1,Docuseries,2020,7.4,1096,62,2020,Cancelled
Moesha,6,TV Comedies,2000,5.7,3713,21,1996,Renewed
My Perfect Landing,1,Kids' TV,2020,6.6,161,25,2020,Cancelled
Nagi-Asu: A Lull in the Sea,1,Anime Series,2014,7.3,1152,23,2013,Cancelled
The Next Step,1,Kids' TV,2018,5.9,1928,24,2013,Cancelled
Toradora!,1,Anime Series,2008,8,14307,30,2008,Cancelled
Sugar Rush,3,Reality TV,2020,7,1508,51,2018,Renewed
The Umbrella Academy,2,TV Action & Adventure,2020,8,202522,52,2019,Renewed
Last Chance U,5,Docuseries,2020,8.4,6789,55,2016,Renewed
Sing On! Spain,1,International TV Shows,2020,6,130,39,2020,Cancelled
Sinatra: All or Nothing at All,1,Docuseries,2015,8,2354,122,2015,Cancelled
Fear City: New York vs The Mafia,1,Crime TV Shows,2020,7.1,7215,52,2020,Cancelled
Norsemen,3,International TV Shows,2020,7.7,18040,30,2016,Renewed
Gigantosaurus,1,Kids' TV,2019,6.9,159,13,2019,Cancelled
Cursed,1,TV Action & Adventure,2020,5.8,29446,55,2020,Cancelled
Dark Desire,1,Crime TV Shows,2020,6.5,7135,34,2020,Cancelled
Skin Decision: Before and After,1,Reality TV,2020,5.8,405,36,2020,Cancelled
Sunny Bunnies,2,British TV Shows,2016,6.6,95,3,2015,Renewed
The Business of Drugs,1,Docuseries,2020,7.2,1646,44,2020,Cancelled
Down to Earth with Zac Efron,1,Docuseries,2020,8,6446,39,2020,Cancelled
The Twelve,1,Crime TV Shows,2019,7.5,5005,47,2019,Cancelled
Japan Sinks: 2020,1,Anime Series,2020,6.4,2922,26,2020,Cancelled
The Protector,4,International TV Shows,2020,6.5,34396,43,2018,Renewed
Was It Love?,1,International TV Shows,2020,7.1,870,69,2020,Cancelled
Stateless,1,International TV Shows,2020,7.5,9218,53,2020,Cancelled
Hook,1,International TV Shows,2020,6.5,25,43,2020,Cancelled
Little Singham,2,Kids' TV,2020,3.5,91,12,2018,Renewed
Cable Girls,6,International TV Shows,2019,7.6,13855,50,2017,Renewed
Southern Survival,1,Reality TV,2020,5.1,454,30,2020,Cancelled
The Baby-Sitters Club,1,Kids' TV,2020,7.3,3786,27,2020,Cancelled
Warrior Nun,1,TV Action & Adventure,2020,6.8,29164,43,2020,Cancelled
21 Again,1,British TV Shows,2019,5.4,47,52,2019,Cancelled
A Touch of Green,1,International TV Shows,2016,8.4,314,46,2015,Cancelled
Abby Hatcher,1,Kids' TV,2019,6.1,163,20,2018,Cancelled
Say I Do,1,Reality TV,2020,7.7,527,55,2020,Cancelled
Trotro,1,Kids' TV,2004,6.2,120,3,2004,Cancelled
BNA,1,Anime Series,2020,7.2,2478,23,2020,Cancelled
Dark,3,Crime TV Shows,2020,8.699999999999998,354443,56,2017,Renewed
Home Game,1,Docuseries,2020,7,841,29,2020,Cancelled
Twogether,1,International TV Shows,2020,8.4,456,0,2020,Cancelled
Crazy Delicious,1,British TV Shows,2020,8.9,15,51,2017,Cancelled
"Roswell, New Mexico",2,Classic & Cult TV,2020,6.2,11928,42,2019,Renewed
It's Okay to Not Be Okay,1,International TV Shows,2020,8.6,21104,76,2020,Cancelled
The Politician,2,TV Comedies,2020,7.5,21887,43,2019,Renewed
The Order,2,International TV Shows,2020,6.7,27286,48,2019,Renewed
The Chase,2,Reality TV,2015,7.5,886,44,2013,Renewed
Alexa & Katie,4,Kids' TV,2020,7.4,4687,25,2018,Renewed
How to Get Away with Murder,6,Crime TV Shows,2020,8.1,146712,43,2014,Renewed
Dating Around,2,Reality TV,2020,6.3,1204,30,2019,Renewed
F is for Family,4,TV Comedies,2020,8,36050,28,2015,Renewed
DC's Legends of Tomorrow,5,TV Action & Adventure,2020,6.8,101178,42,2016,Renewed
Lenox Hill,1,Docuseries,2020,8.699999999999998,2276,50,2020,Cancelled
My Mister,1,Crime TV Shows,2018,9.2,5481,79,2018,Cancelled
Reality Z,1,International TV Shows,2020,5.6,2437,31,2020,Cancelled
Queen of the South,4,Crime TV Shows,2018,7.9,28537,42,2016,Renewed
13 Reasons Why,4,Crime TV Shows,2020,7.5,282373,58,2017,Renewed
Queer Eye,5,Reality TV,2020,8.5,18147,47,2018,Renewed
Supernatural,15,Classic & Cult TV,2019,8.5,428639,45,2005,Renewed
BAKI,3,Anime Series,2020,6.7,5706,24,2018,Renewed
Alone,1,Reality TV,2019,8.4,4622,48,2015,Cancelled
Cardcaptor Sakura,2,Anime Series,1999,8,4936,25,1998,Renewed
Dear My Friends,1,International TV Shows,2016,8.199999999999998,355,70,2016,Cancelled
Midnight Diner,3,International TV Shows,2014,8.6,2110,27,2009,Renewed
My Shy Boss,1,International TV Shows,2017,7.3,1537,71,2017,Cancelled
Revolutionary Love,1,International TV Shows,2017,6.9,666,68,2017,Cancelled
Space Force,1,TV Comedies,2020,6.7,61739,30,2020,Cancelled
"Can't Cope, Won't Cope",2,TV Comedies,2018,7.3,880,23,2016,Renewed
Dorohedoro,1,Anime Series,2020,8.1,7813,24,2020,Cancelled
Mako Mermaids: An H2O Adventure,4,Kids' TV,2016,6.7,3924,25,2013,Renewed
Supergirl,5,TV Action & Adventure,2019,6.2,121939,42,2015,Renewed
Betaal,1,International TV Shows,2020,5.4,8884,47,2020,Cancelled
Dynasty,3,TV Dramas,2019,7.2,21136,42,2017,Renewed
History 101,1,British TV Shows,2020,6.8,4031,22,2020,Cancelled
Trailer Park Boys: The Animated Series,2,TV Comedies,2020,7.6,2854,25,2019,Renewed
Mystic Pop-up Bar,1,International TV Shows,2020,8,1977,69,2020,Cancelled
The Queen and the Conqueror,1,International TV Shows,2020,6.6,172,46,2020,Cancelled
Sweet Magnolias,1,Romantic TV Shows,2020,7.3,17435,50,2020,Cancelled
The Big Flower Fight,1,British TV Shows,2020,7.4,1178,39,2020,Cancelled
Patriot Act with Hasan Minhaj,6,Stand-Up Comedy & Talk Shows,2020,8.199999999999998,7222,25,2018,Renewed
Boys Over Flowers,1,International TV Shows,2009,7.9,11579,64,2009,Cancelled
Iris,1,International TV Shows,2009,7.8,1951,61,2009,Cancelled
Avatar: The Last Airbender,3,Classic & Cult TV,2007,9.3,297336,24,2005,Renewed
Madam Secretary,6,TV Dramas,2019,7.6,22563,43,2014,Renewed
Magic for Humans,3,Reality TV,2020,7.1,3316,24,2018,Renewed
She-Ra and the Princesses of Power,5,Kids' TV,2020,7.8,14935,24,2018,Renewed
White Lines,1,British TV Shows,2020,6.6,16506,55,2020,Cancelled
True: Terrific Tales,1,Kids' TV,2020,5.7,22,8,2020,Cancelled
Bordertown,3,Crime TV Shows,2019,7.6,10371,59,2016,Renewed
Dead to Me,2,TV Comedies,2020,8,73110,31,2019,Renewed
Restaurants on the Edge,2,International TV Shows,2020,6.7,972,46,2019,Renewed
The Eddy,1,International TV Shows,2020,7.1,2908,58,2020,Cancelled
The Hollow,2,Kids' TV,2020,7.1,4198,24,2018,Renewed
Scissor Seven,2,International TV Shows,2020,8.5,297,15,2018,Renewed
Almost Happy,1,International TV Shows,2020,6.8,870,27,2020,Cancelled
Hollywood,1,TV Dramas,2020,7.5,35067,50,2020,Cancelled
Masha and the Bear,4,Kids' TV,2019,7.6,3114,6,2009,Renewed
Medici: Masters of Florence,3,International TV Shows,2019,7.9,18575,54,2016,Renewed
Good Witch,5,TV Dramas,2019,7.2,10392,43,2015,Renewed
The Forest of Love: Deep Cut,1,Crime TV Shows,2020,6.8,426,0,2020,Cancelled
The Victims' Game,1,Crime TV Shows,2020,7.3,1356,59,2020,Cancelled
"Coronavirus, Explained",1,Docuseries,2020,7.6,2223,23,2020,Cancelled
The Last Kingdom,4,British TV Shows,2020,8.5,126473,55,2015,Renewed
My Secret Romance,1,International TV Shows,2017,7.2,3108,52,2017,Cancelled
After Life,2,British TV Shows,2020,8.5,124972,28,2019,Renewed
Love 101,1,International TV Shows,2020,7.5,13797,46,2020,Cancelled
Ghost in the Shell: SAC_2045,1,Anime Series,2020,6.2,2020,25,2020,Cancelled
The House of Flowers,3,International TV Shows,2020,7.6,7722,31,2018,Renewed
Absurd Planet,1,Docuseries,2020,3.9,1459,20,2020,Cancelled
Middleditch & Schwartz,1,TV Comedies,2020,8.6,5147,51,2020,Cancelled
Nicky Jam: El Ganador,1,Crime TV Shows,2018,7.7,1129,44,2018,Cancelled
Hasmukh,1,Crime TV Shows,2020,5.3,2673,32,2020,Cancelled
Fauda,3,Crime TV Shows,2020,8.3,25239,40,2015,Renewed
The Innocence Files,1,Crime TV Shows,2020,8,2622,64,2020,Cancelled
Brews Brothers,1,TV Comedies,2020,5.1,1944,11,2020,Cancelled
The Trial,1,Crime TV Shows,2019,7.2,3032,50,2019,Cancelled
Hi Score Girl,2,Anime Series,2019,8,1952,27,2018,Renewed
The Circle France,1,International TV Shows,2020,7.4,692,50,2020,Cancelled
El Reemplazante,2,International TV Shows,2013,8.5,755,45,2012,Renewed
Legacies,2,TV Dramas,2019,7.3,28877,42,2018,Renewed
Community,6,TV Comedies,2015,8.5,252564,23,2009,Renewed
How to Fix a Drug Scandal,1,Crime TV Shows,2020,7,3232,53,2020,Cancelled
Man Like Mobeen,3,British TV Shows,2020,8,2664,22,2017,Renewed
Sunderland 'Til I Die,2,British TV Shows,2020,8.1,7943,41,2018,Renewed
The Iliza Shlesinger Sketch Show,1,TV Comedies,2020,5,914,19,2020,Cancelled
The Windsors,3,British TV Shows,2020,7.1,2648,27,2016,Renewed
Well-Intended Love,2,International TV Shows,2020,7.2,1433,43,2019,Renewed
Ladies Up,1,International TV Shows,2019,4.3,234,17,2020,Cancelled
Ozark,3,Crime TV Shows,2020,8.5,278223,60,2017,Renewed
7SEEDS,2,Anime Series,2020,6.3,1378,25,2019,Renewed
Unorthodox,1,International TV Shows,2020,8,74118,54,2020,Cancelled
J-Style Trip,1,International TV Shows,2020,4.9,111,64,2020,Cancelled
Archibald's Next Big Thing,2,Kids' TV,2020,7.5,284,24,2019,Renewed
Dino Girl Gauko,2,Anime Series,2020,6.6,71,9,2019,Renewed
Greenhouse Academy,4,Kids' TV,2020,6.6,5967,23,2017,Renewed
Self Made: Inspired by the Life of Madam C.J. Walker,1,TV Dramas,2020,7.3,11586,47,2020,Cancelled
The Letter for the King,1,British TV Shows,2020,5.9,7376,47,2020,Cancelled
Vampires,1,International TV Shows,2020,5.6,1234,40,2020,Cancelled
Caliphate,1,International TV Shows,2020,8.199999999999998,17735,48,2020,Cancelled
Shaun the Sheep: Adventures from Mossy Bottom,1,British TV Shows,2020,8.1,551,6,2020,Cancelled
We Speak Dance,1,Docuseries,2018,7.5,148,22,2018,Cancelled
Kingdom,2,International TV Shows,2020,8.3,43760,48,2019,Renewed
The Valhalla Murders,1,Crime TV Shows,2020,7.1,13038,46,2019,Cancelled
Dirty Money,2,Crime TV Shows,2020,8.1,9099,63,2018,Renewed
On My Block,3,Romantic TV Shows,2020,7.9,15642,29,2018,Renewed
The Circle Brazil,1,International TV Shows,2020,6.8,761,49,2020,Cancelled
Ugly Delicious,2,Docuseries,2020,7.8,3505,51,2018,Renewed
Mighty Little Bheem: Festival of Colors,1,Kids' TV,2020,7.2,37,6,2020,Cancelled
Velvet,4,International TV Shows,2016,8.1,6018,57,2014,Renewed
Babylon Berlin,3,Crime TV Shows,2020,8.4,23256,49,2017,Renewed
Always a Witch,2,International TV Shows,2019,6.3,2406,40,2019,Renewed
Queen Sono,1,International TV Shows,2020,5.9,1226,89,2020,Cancelled
Toy Boy,1,Crime TV Shows,2019,6.5,7371,61,2019,Cancelled
Altered Carbon,2,Crime TV Shows,2020,7.9,162018,52,2018,Renewed
Six Windows in the Desert,1,TV Shows,2020,4.3,3074,21,2020,Cancelled
The Trials of Gabriel Fernandez,1,Crime TV Shows,2020,8.1,10982,55,2020,Cancelled
"Hi Bye, Mama!",1,International TV Shows,2020,8,1561,61,2020,Cancelled
Gentefied,1,TV Comedies,2020,7.3,2641,30,2020,Cancelled
Hyena,1,International TV Shows,2020,7.7,765,60,2020,Cancelled
